sentiment,text,date,cleaned_text,tokens
negative,@chrishasboobs AHHH I HOPE YOUR OK!!! ,Tue Jun 16 18:18:12 PDT 2009,ahhh i hope your ok,"['ahhh', 'hope', 'ok']"
negative,"@misstoriblack cool , i have no tweet apps  for my razr 2",Mon Apr 06 23:11:14 PDT 2009,cool  i have no tweet apps  for my razr 2,"['cool', 'tweet', 'apps', 'razr', '2']"
negative,"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u",Tue Jun 23 13:40:11 PDT 2009,i know  just family drama its lamehey next time u hang out with kim n u guys like have a sleepover or whatever ill call u,"['know', 'family', 'drama', 'lamehey', 'next', 'time', 'u', 'hang', 'kim', 'n', 'u', 'guy', 'like', 'sleepover', 'whatever', 'ill', 'call', 'u']"
negative,School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(,Mon Jun 01 10:26:07 PDT 2009,school email wont open  and i have geography stuff on there to revise stupid school,"['school', 'email', 'wont', 'open', 'geography', 'stuff', 'revise', 'stupid', 'school']"
negative,upper airways problem ,Sat Jun 20 12:56:51 PDT 2009,upper airways problem,"['upper', 'airway', 'problem']"
negative,Going to miss Pastor's sermon on Faith... ,Sat Jun 06 00:32:16 PDT 2009,going to miss pastors sermon on faith,"['going', 'miss', 'pastor', 'sermon', 'faith']"
positive,on lunch....dj should come eat with me ,Sun May 31 13:10:36 PDT 2009,on lunchdj should come eat with me,"['lunchdj', 'come', 'eat']"
negative,@piginthepoke oh why are you feeling like that? ,Fri Jun 19 16:11:29 PDT 2009,oh why are you feeling like that,"['oh', 'feeling', 'like']"
negative,gahh noo!peyton needs to live!this is horrible ,Mon May 11 22:01:32 PDT 2009,gahh noopeyton needs to livethis is horrible,"['gahh', 'noopeyton', 'need', 'livethis', 'horrible']"
positive,@mrstessyman thank you glad you like it! There is a product review bit on the site  Enjoy knitting it!,Sat May 30 03:39:34 PDT 2009,thank you glad you like it there is a product review bit on the site  enjoy knitting it,"['thank', 'glad', 'like', 'product', 'review', 'bit', 'site', 'enjoy', 'knitting']"
positive,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! ,Fri Jun 05 23:59:27 PDT 2009,zach makes me pee sitting down and im a grown gay man,"['zach', 'make', 'pee', 'sitting', 'im', 'grown', 'gay', 'man']"
positive,to sum up my day in one word ......... kackered! ,Mon Jun 01 08:29:05 PDT 2009,to sum up my day in one word  kackered,"['sum', 'day', 'one', 'word', 'kackered']"
positive,@k9wkj Great minds think alike ,Sun Jun 07 16:46:29 PDT 2009,great minds think alike,"['great', 'mind', 'think', 'alike']"
negative,Is Poorly and in bed! ,Wed Jun 17 03:00:02 PDT 2009,is poorly and in bed,"['poorly', 'bed']"
positive,"@LilPecan Oh, that's really great  Here we have a small blizzard and also cold wind blows...",Sat Apr 18 14:39:59 PDT 2009,oh thats really great  here we have a small blizzard and also cold wind blows,"['oh', 'thats', 'really', 'great', 'small', 'blizzard', 'also', 'cold', 'wind', 'blow']"
positive,"@wizely lol, calm down.  i got a 30day loan offer for only 1500% ",Mon May 18 03:32:38 PDT 2009,lol calm down  i got a 30day loan offer for only 1500,"['lol', 'calm', 'got', '30day', 'loan', 'offer', '1500']"
positive,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school ",Tue Jun 16 03:39:22 PDT 2009,im feeling quite sleepy today wish i could stay in bed todaybut ok is my last year so lets go to school,"['im', 'feeling', 'quite', 'sleepy', 'today', 'wish', 'could', 'stay', 'bed', 'todaybut', 'ok', 'last', 'year', 'let', 'go', 'school']"
negative,@nadalnews Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.  ,Sat May 30 12:06:09 PDT 2009,yeah  mathieu totally choked in the 3rd set to let rog win as well djokovic played terribly,"['yeah', 'mathieu', 'totally', 'choked', '3rd', 'set', 'let', 'rog', 'win', 'well', 'djokovic', 'played', 'terribly']"
negative,"ugh, morning's off to a rough start ",Tue Jun 02 06:20:35 PDT 2009,ugh mornings off to a rough start,"['ugh', 'morning', 'rough', 'start']"
negative,just bit my tongue ,Sun Jun 07 03:36:33 PDT 2009,just bit my tongue,"['bit', 'tongue']"
negative,@frandrescher Apparently you dont have time for ur fans!!!!!!!!!! ,Mon Jun 01 12:09:16 PDT 2009,apparently you dont have time for ur fans,"['apparently', 'dont', 'time', 'ur', 'fan']"
